event	missing_stage
559	Native Target Presentation Latency
559	Native Terminal Record Latency
579	Native Actual Presentation Latency
579	Native Display Link Target Latency
579	Native Event Handler Latency
579	Native Frame Queue Latency
579	Native GPU Terminal Observed Latency
579	Native Presentation Callback Lag
579	Native Presented Handler Latency
579	Native Submission Latency
579	Native Target Presentation Latency
579	Native Terminal Record Latency
589	Native Actual Presentation Latency
589	Native Display Link Target Latency
589	Native Event Handler Latency
589	Native Frame Queue Latency
589	Native GPU Terminal Observed Latency
589	Native Presentation Callback Lag
589	Native Presented Handler Latency
589	Native Submission Latency
589	Native Target Presentation Latency
589	Native Terminal Record Latency
599	Native Actual Presentation Latency
599	Native Display Link Target Latency
599	Native Event Handler Latency
599	Native Frame Queue Latency
599	Native GPU Terminal Observed Latency
599	Native Presentation Callback Lag
599	Native Presented Handler Latency
599	Native Submission Latency
599	Native Target Presentation Latency
599	Native Terminal Record Latency
619	Native Actual Presentation Latency
619	Native Display Link Target Latency
619	Native Event Handler Latency
619	Native Frame Queue Latency
619	Native GPU Terminal Observed Latency
619	Native Presentation Callback Lag
619	Native Presented Handler Latency
619	Native Submission Latency
619	Native Target Presentation Latency
619	Native Terminal Record Latency
629	Native Actual Presentation Latency
629	Native Display Link Target Latency
629	Native Event Handler Latency
629	Native Frame Queue Latency
629	Native GPU Terminal Observed Latency
629	Native Presentation Callback Lag
629	Native Presented Handler Latency
629	Native Submission Latency
629	Native Target Presentation Latency
629	Native Terminal Record Latency
649	Native Actual Presentation Latency
649	Native Display Link Target Latency
649	Native Event Handler Latency
649	Native Frame Queue Latency
649	Native GPU Terminal Observed Latency
649	Native Presentation Callback Lag
649	Native Presented Handler Latency
649	Native Submission Latency
649	Native Target Presentation Latency
649	Native Terminal Record Latency
657	Native Actual Presentation Latency
657	Native Display Link Target Latency
657	Native Event Handler Latency
657	Native Frame Queue Latency
657	Native GPU Terminal Observed Latency
657	Native Presentation Callback Lag
657	Native Presented Handler Latency
657	Native Submission Latency
657	Native Target Presentation Latency
657	Native Terminal Record Latency
673	Native Actual Presentation Latency
673	Native Display Link Target Latency
673	Native Event Handler Latency
673	Native Frame Queue Latency
673	Native GPU Terminal Observed Latency
673	Native Presentation Callback Lag
673	Native Presented Handler Latency
673	Native Submission Latency
673	Native Target Presentation Latency
673	Native Terminal Record Latency
689	Native Actual Presentation Latency
689	Native Display Link Target Latency
689	Native Event Handler Latency
689	Native Frame Queue Latency
689	Native GPU Terminal Observed Latency
689	Native Presentation Callback Lag
689	Native Presented Handler Latency
689	Native Submission Latency
689	Native Target Presentation Latency
689	Native Terminal Record Latency
705	Native Actual Presentation Latency
705	Native Display Link Target Latency
705	Native Event Handler Latency
705	Native Frame Queue Latency
705	Native GPU Terminal Observed Latency
705	Native Presentation Callback Lag
705	Native Presented Handler Latency
705	Native Submission Latency
705	Native Target Presentation Latency
705	Native Terminal Record Latency
721	Native Actual Presentation Latency
721	Native Display Link Target Latency
721	Native Event Handler Latency
721	Native Frame Queue Latency
721	Native GPU Terminal Observed Latency
721	Native Presentation Callback Lag
721	Native Presented Handler Latency
721	Native Submission Latency
721	Native Target Presentation Latency
721	Native Terminal Record Latency
737	Native Actual Presentation Latency
737	Native Display Link Target Latency
737	Native Event Handler Latency
737	Native Frame Queue Latency
737	Native GPU Terminal Observed Latency
737	Native Presentation Callback Lag
737	Native Presented Handler Latency
737	Native Submission Latency
737	Native Target Presentation Latency
737	Native Terminal Record Latency
753	Native Actual Presentation Latency
753	Native Display Link Target Latency
753	Native Event Handler Latency
753	Native Frame Queue Latency
753	Native GPU Terminal Observed Latency
753	Native Presentation Callback Lag
753	Native Presented Handler Latency
753	Native Submission Latency
753	Native Target Presentation Latency
753	Native Terminal Record Latency
773	Native Actual Presentation Latency
773	Native Display Link Target Latency
773	Native Event Handler Latency
773	Native Frame Queue Latency
773	Native GPU Terminal Observed Latency
773	Native Presentation Callback Lag
773	Native Presented Handler Latency
773	Native Submission Latency
773	Native Target Presentation Latency
773	Native Terminal Record Latency
783	Native Actual Presentation Latency
783	Native Display Link Target Latency
783	Native Event Handler Latency
783	Native Frame Queue Latency
783	Native GPU Terminal Observed Latency
783	Native Presentation Callback Lag
783	Native Presented Handler Latency
783	Native Submission Latency
783	Native Target Presentation Latency
783	Native Terminal Record Latency
811	Native Actual Presentation Latency
811	Native Display Link Target Latency
811	Native Event Handler Latency
811	Native Frame Queue Latency
811	Native GPU Terminal Observed Latency
811	Native Presentation Callback Lag
811	Native Presented Handler Latency
811	Native Submission Latency
811	Native Target Presentation Latency
811	Native Terminal Record Latency
819	Native Actual Presentation Latency
819	Native Presentation Callback Lag
