stage	event	scene	document	buffer	a	b	c
State Mutation Complete	45	0	0	0	0	0	1
Event Dispatch Begin	46	0	0	0	8	1	0
State Mutation Complete	46	0	0	0	0	0	1
Atlas Publication Begin	47	3	0	0	78	0	0
Atlas Publication Complete	47	3	0	0	0	0	0
Event Dispatch Begin	47	0	0	0	2	1	0
Frame Build Begin	47	3	0	0	1148190720	1141309440	0
Frame Build Complete	47	3	0	0	84	78	0
Glyph Atlas Summary	47	3	0	0	87	0	70400
Layout Cache Summary	47	3	0	0	4	0	1952
Native Display Link Target Latency	47	0	0	0	14514250	0	0
Native Event Handler Latency	47	0	0	0	214000	0	0
Native Frame Queue Latency	47	0	0	0	6086000	0	0
Native GPU Terminal Observed Latency	47	0	0	0	36610167	0	0
Native Presented Handler Latency	47	0	0	0	36613833	0	0
Native Submission Latency	47	0	0	0	265292	0	0
