event	missing_stage
318	Native Target Presentation Latency
318	Native Terminal Record Latency
328	Native Actual Presentation Latency
328	Native Display Link Target Latency
328	Native Event Handler Latency
328	Native Frame Queue Latency
328	Native GPU Terminal Observed Latency
328	Native Presentation Callback Lag
328	Native Presented Handler Latency
328	Native Submission Latency
328	Native Target Presentation Latency
328	Native Terminal Record Latency
338	Native Actual Presentation Latency
338	Native Display Link Target Latency
338	Native Event Handler Latency
338	Native Frame Queue Latency
338	Native GPU Terminal Observed Latency
338	Native Presentation Callback Lag
338	Native Presented Handler Latency
338	Native Submission Latency
338	Native Target Presentation Latency
338	Native Terminal Record Latency
358	Native Actual Presentation Latency
358	Native Display Link Target Latency
358	Native Event Handler Latency
358	Native Frame Queue Latency
358	Native GPU Terminal Observed Latency
358	Native Presentation Callback Lag
358	Native Presented Handler Latency
358	Native Submission Latency
358	Native Target Presentation Latency
358	Native Terminal Record Latency
368	Native Actual Presentation Latency
368	Native Display Link Target Latency
368	Native Event Handler Latency
368	Native Frame Queue Latency
368	Native GPU Terminal Observed Latency
368	Native Presentation Callback Lag
368	Native Presented Handler Latency
368	Native Submission Latency
368	Native Target Presentation Latency
368	Native Terminal Record Latency
378	Native Actual Presentation Latency
378	Native Display Link Target Latency
378	Native Event Handler Latency
378	Native Frame Queue Latency
378	Native GPU Terminal Observed Latency
378	Native Presentation Callback Lag
378	Native Presented Handler Latency
378	Native Submission Latency
378	Native Target Presentation Latency
378	Native Terminal Record Latency
398	Native Actual Presentation Latency
398	Native Display Link Target Latency
398	Native Event Handler Latency
398	Native Frame Queue Latency
398	Native GPU Terminal Observed Latency
398	Native Presentation Callback Lag
398	Native Presented Handler Latency
398	Native Submission Latency
398	Native Target Presentation Latency
398	Native Terminal Record Latency
408	Native Actual Presentation Latency
408	Native Display Link Target Latency
408	Native Event Handler Latency
408	Native Frame Queue Latency
408	Native GPU Terminal Observed Latency
408	Native Presentation Callback Lag
408	Native Presented Handler Latency
408	Native Submission Latency
408	Native Target Presentation Latency
408	Native Terminal Record Latency
428	Native Actual Presentation Latency
428	Native Display Link Target Latency
428	Native Event Handler Latency
428	Native Frame Queue Latency
428	Native GPU Terminal Observed Latency
428	Native Presentation Callback Lag
428	Native Presented Handler Latency
428	Native Submission Latency
428	Native Target Presentation Latency
428	Native Terminal Record Latency
438	Native Actual Presentation Latency
438	Native Display Link Target Latency
438	Native Event Handler Latency
438	Native Frame Queue Latency
438	Native GPU Terminal Observed Latency
438	Native Presentation Callback Lag
438	Native Presented Handler Latency
438	Native Submission Latency
438	Native Target Presentation Latency
438	Native Terminal Record Latency
448	Native Actual Presentation Latency
448	Native Display Link Target Latency
448	Native Event Handler Latency
448	Native Frame Queue Latency
448	Native GPU Terminal Observed Latency
448	Native Presentation Callback Lag
448	Native Presented Handler Latency
448	Native Submission Latency
448	Native Target Presentation Latency
448	Native Terminal Record Latency
468	Native Actual Presentation Latency
