stage	event	scene	document	buffer	a	b	c
Event Dispatch Begin	172	0	7	7	5	9	0
Frame Build Begin	172	13	8	8	1148190720	1141309440	0
Frame Build Complete	172	13	8	8	92	86	0
Glyph Atlas Summary	172	13	8	8	96	0	75264
Layout Cache Summary	172	13	8	8	4	1	3200
State Mutation Complete	172	0	8	8	1	1	10
Text Summary	172	13	8	8	3	0	1
Visible Layout Begin	172	13	8	8	0	0	0
Visible Layout Complete	172	13	8	8	5	0	0
Event Dispatch Begin	173	0	8	8	8	10	0
State Mutation Complete	173	0	8	8	0	0	10
Event Dispatch Begin	174	0	8	8	1	10	0
State Mutation Complete	174	0	8	8	0	0	10
Event Dispatch Begin	175	0	8	8	8	10	0
State Mutation Complete	175	0	8	8	0	0	10
Event Dispatch Begin	176	0	8	8	1	10	0
State Mutation Complete	176	0	8	8	0	0	10
Event Dispatch Begin	177	0	8	8	8	10	0
State Mutation Complete	177	0	8	8	0	0	10
Event Dispatch Begin	178	0	8	8	1	10	0
State Mutation Complete	178	0	8	8	0	0	10
Event Dispatch Begin	179	0	8	8	8	10	0
State Mutation Complete	179	0	8	8	0	0	10
Event Dispatch Begin	180	0	8	8	1	10	0
State Mutation Complete	180	0	8	8	0	0	10
Event Dispatch Begin	181	0	8	8	8	10	0
State Mutation Complete	181	0	8	8	0	0	10
Atlas Publication Begin	182	14	9	9	87	0	0
Atlas Publication Complete	182	14	9	9	0	0	0
Event Dispatch Begin	182	0	8	8	5	10	0
Frame Build Begin	182	14	9	9	1148190720	1141309440	0
Frame Build Complete	182	14	9	9	93	87	0
Glyph Atlas Summary	182	14	9	9	97	0	75264
Layout Cache Summary	182	14	9	9	4	1	3264
Native Event Handler Latency	182	0	0	0	193542	0	0
Native Frame Queue Latency	182	0	0	0	130584	0	0
Native GPU Terminal Observed Latency	182	0	0	0	8524708	0	0
Native Submission Latency	182	0	0	0	97500	0	0
Native Terminal Record Latency	182	0	0	0	8525208	0	0
State Mutation Complete	182	0	9	9	1	1	11
Text Summary	182	14	9	9	3	0	1
Visible Layout Begin	182	14	9	9	0	0	0
Visible Layout Complete	182	14	9	9	5	0	0
Event Dispatch Begin	183	0	9	9	8	11	0
State Mutation Complete	183	0	9	9	0	0	11
Event Dispatch Begin	184	0	9	9	1	11	0
State Mutation Complete	184	0	9	9	0	0	11
Event Dispatch Begin	185	0	9	9	8	11	0
State Mutation Complete	185	0	9	9	0	0	11
Event Dispatch Begin	186	0	9	9	1	11	0
State Mutation Complete	186	0	9	9	0	0	11
Event Dispatch Begin	187	0	9	9	8	11	0
State Mutation Complete	187	0	9	9	0	0	11
Event Dispatch Begin	188	0	9	9	1	11	0
State Mutation Complete	188	0	9	9	0	0	11
Event Dispatch Begin	189	0	9	9	8	11	0
State Mutation Complete	189	0	9	9	0	0	11
Event Dispatch Begin	190	0	9	9	1	11	0
State Mutation Complete	190	0	9	9	0	0	11
Event Dispatch Begin	191	0	9	9	8	11	0
State Mutation Complete	191	0	9	9	0	0	11
Atlas Publication Begin	192	15	10	10	88	0	0
Atlas Publication Complete	192	15	10	10	0	0	0
Event Dispatch Begin	192	0	9	9	5	11	0
Frame Build Begin	192	15	10	10	1148190720	1141309440	0
Frame Build Complete	192	15	10	10	94	88	0
Glyph Atlas Summary	192	15	10	10	98	0	75264
Layout Cache Summary	192	15	10	10	4	1	3328
State Mutation Complete	192	0	10	10	1	1	12
Text Summary	192	15	10	10	3	0	1
Visible Layout Begin	192	15	10	10	0	0	0
Visible Layout Complete	192	15	10	10	5	0	0
Event Dispatch Begin	193	0	10	10	8	12	0
State Mutation Complete	193	0	10	10	0	0	12
Event Dispatch Begin	194	0	10	10	1	12	0
State Mutation Complete	194	0	10	10	0	0	12
Event Dispatch Begin	195	0	10	10	8	12	0
State Mutation Complete	195	0	10	10	0	0	12
Event Dispatch Begin	196	0	10	10	1	12	0
State Mutation Complete	196	0	10	10	0	0	12
Event Dispatch Begin	197	0	10	10	8	12	0
State Mutation Complete	197	0	10	10	0	0	12
Event Dispatch Begin	198	0	10	10	1	12	0
State Mutation Complete	198	0	10	10	0	0	12
Event Dispatch Begin	199	0	10	10	8	12	0
State Mutation Complete	199	0	10	10	0	0	12
Event Dispatch Begin	200	0	10	10	1	12	0
State Mutation Complete	200	0	10	10	0	0	12
