stage	event	scene	document	buffer	a	b	c
Atlas Publication Complete	58	3	2	2	0	0	0
Event Dispatch Begin	58	0	1	1	5	2	0
Frame Build Begin	58	3	2	2	1148190720	1141309440	0
Frame Build Complete	58	3	2	2	19	14	0
Glyph Atlas Summary	58	3	2	2	14	0	68096
Layout Cache Summary	58	3	2	2	0	1	928
Native Display Link Target Latency	58	0	0	0	14730625	0	0
Native Event Handler Latency	58	0	0	0	28583	0	0
Native Frame Queue Latency	58	0	0	0	7024417	0	0
Native GPU Terminal Observed Latency	58	0	0	0	31450542	0	0
Native Presented Handler Latency	58	0	0	0	31456750	0	0
Native Submission Latency	58	0	0	0	253208	0	0
Native Target Presentation Latency	58	0	0	0	48063875	0	0
Native Terminal Record Latency	58	0	0	0	31451833	0	0
State Mutation Complete	58	0	2	2	1	1	3
Text Summary	58	3	2	2	2	0	1
Visible Layout Begin	58	3	2	2	0	0	0
Visible Layout Complete	58	3	2	2	1	0	0
Event Dispatch Begin	59	0	2	2	8	3	0
State Mutation Complete	59	0	2	2	0	0	3
Event Dispatch Begin	60	0	2	2	1	3	0
State Mutation Complete	60	0	2	2	0	0	3
Event Dispatch Begin	61	0	2	2	8	3	0
State Mutation Complete	61	0	2	2	0	0	3
Event Dispatch Begin	62	0	2	2	1	3	0
State Mutation Complete	62	0	2	2	0	0	3
Event Dispatch Begin	63	0	2	2	8	3	0
State Mutation Complete	63	0	2	2	0	0	3
Event Dispatch Begin	64	0	2	2	1	3	0
State Mutation Complete	64	0	2	2	0	0	3
Event Dispatch Begin	65	0	2	2	8	3	0
State Mutation Complete	65	0	2	2	0	0	3
Event Dispatch Begin	66	0	2	2	1	3	0
State Mutation Complete	66	0	2	2	0	0	3
Event Dispatch Begin	67	0	2	2	8	3	0
State Mutation Complete	67	0	2	2	0	0	3
Atlas Publication Begin	68	4	3	3	15	0	0
Atlas Publication Complete	68	4	3	3	2	4352	1
Event Dispatch Begin	68	0	2	2	5	3	0
Frame Build Begin	68	4	3	3	1148190720	1141309440	0
Frame Build Complete	68	4	3	3	20	15	0
Glyph Atlas Summary	68	4	3	3	14	1	68096
Layout Cache Summary	68	4	3	3	0	1	992
State Mutation Complete	68	0	3	3	1	1	4
Text Summary	68	4	3	3	2	1	1
Visible Layout Begin	68	4	3	3	0	0	0
Visible Layout Complete	68	4	3	3	1	0	0
Event Dispatch Begin	69	0	3	3	8	4	0
State Mutation Complete	69	0	3	3	0	0	4
Event Dispatch Begin	70	0	3	3	1	4	0
State Mutation Complete	70	0	3	3	0	0	4
Event Dispatch Begin	71	0	3	3	8	4	0
State Mutation Complete	71	0	3	3	0	0	4
Event Dispatch Begin	72	0	3	3	1	4	0
State Mutation Complete	72	0	3	3	0	0	4
Event Dispatch Begin	73	0	3	3	8	4	0
State Mutation Complete	73	0	3	3	0	0	4
Event Dispatch Begin	74	0	3	3	1	4	0
State Mutation Complete	74	0	3	3	0	0	4
Event Dispatch Begin	75	0	3	3	8	4	0
State Mutation Complete	75	0	3	3	0	0	4
Event Dispatch Begin	76	0	3	3	1	4	0
State Mutation Complete	76	0	3	3	0	0	4
Event Dispatch Begin	77	0	3	3	8	4	0
State Mutation Complete	77	0	3	3	0	0	4
Atlas Publication Begin	78	5	4	4	16	0	0
Atlas Publication Complete	78	5	4	4	0	0	0
Event Dispatch Begin	78	0	3	3	5	4	0
Frame Build Begin	78	5	4	4	1148190720	1141309440	0
Frame Build Complete	78	5	4	4	21	16	0
Glyph Atlas Summary	78	5	4	4	16	0	68096
Layout Cache Summary	78	5	4	4	0	1	1056
State Mutation Complete	78	0	4	4	1	1	5
Text Summary	78	5	4	4	2	0	1
Visible Layout Begin	78	5	4	4	0	0	0
Visible Layout Complete	78	5	4	4	1	0	0
Event Dispatch Begin	79	0	4	4	8	5	0
