stage	event	scene	document	buffer	a	b	c
Atlas Publication Complete	129	11	5	5	0	0	0
Event Dispatch Begin	129	0	4	4	5	7	0
Frame Build Begin	129	11	5	5	1148190720	1141309440	0
Frame Build Complete	129	11	5	5	87	81	0
Glyph Atlas Summary	129	11	5	5	91	0	70400
Layout Cache Summary	129	11	5	5	4	1	3008
Native Actual Presentation Latency	129	0	0	0	43290250	0	0
Native Display Link Target Latency	129	0	0	0	9957167	0	0
Native Event Handler Latency	129	0	0	0	157833	0	0
Native Frame Queue Latency	129	0	0	0	1605583	0	0
Native GPU Terminal Observed Latency	129	0	0	0	10082292	0	0
Native Presentation Callback Lag	129	0	0	0	197000	0	0
Native Presented Handler Latency	129	0	0	0	43487542	0	0
Native Submission Latency	129	0	0	0	137375	0	0
Native Target Presentation Latency	129	0	0	0	43290417	0	0
Native Terminal Record Latency	129	0	0	0	18376250	0	0
State Mutation Complete	129	0	5	5	1	1	8
Text Summary	129	11	5	5	3	0	1
Visible Layout Begin	129	11	5	5	0	0	0
Visible Layout Complete	129	11	5	5	5	0	0
Event Dispatch Begin	130	0	5	5	8	8	0
State Mutation Complete	130	0	5	5	0	0	8
Event Dispatch Begin	131	0	5	5	1	8	0
State Mutation Complete	131	0	5	5	0	0	8
Event Dispatch Begin	132	0	5	5	8	8	0
State Mutation Complete	132	0	5	5	0	0	8
Event Dispatch Begin	133	0	5	5	1	8	0
State Mutation Complete	133	0	5	5	0	0	8
Event Dispatch Begin	134	0	5	5	8	8	0
State Mutation Complete	134	0	5	5	0	0	8
Event Dispatch Begin	135	0	5	5	1	8	0
State Mutation Complete	135	0	5	5	0	0	8
Event Dispatch Begin	136	0	5	5	8	8	0
State Mutation Complete	136	0	5	5	0	0	8
Event Dispatch Begin	137	0	5	5	1	8	0
State Mutation Complete	137	0	5	5	0	0	8
Event Dispatch Begin	138	0	5	5	8	8	0
State Mutation Complete	138	0	5	5	0	0	8
Atlas Publication Begin	139	12	6	6	82	0	0
Atlas Publication Complete	139	12	6	6	0	0	0
Event Dispatch Begin	139	0	5	5	5	8	0
Frame Build Begin	139	12	6	6	1148190720	1141309440	0
Frame Build Complete	139	12	6	6	88	82	0
Glyph Atlas Summary	139	12	6	6	92	0	70400
Layout Cache Summary	139	12	6	6	4	1	3072
Native Actual Presentation Latency	139	0	0	0	45978458	0	0
Native Display Link Target Latency	139	0	0	0	12645208	0	0
Native Event Handler Latency	139	0	0	0	132875	0	0
Native Frame Queue Latency	139	0	0	0	4321542	0	0
Native GPU Terminal Observed Latency	139	0	0	0	12794417	0	0
Native Presentation Callback Lag	139	0	0	0	203000	0	0
Native Presented Handler Latency	139	0	0	0	46181375	0	0
Native Submission Latency	139	0	0	0	178541	0	0
Native Target Presentation Latency	139	0	0	0	45978458	0	0
Native Terminal Record Latency	139	0	0	0	21078709	0	0
State Mutation Complete	139	0	6	6	1	1	9
Text Summary	139	12	6	6	3	0	1
Visible Layout Begin	139	12	6	6	0	0	0
Visible Layout Complete	139	12	6	6	5	0	0
Event Dispatch Begin	140	0	6	6	8	9	0
State Mutation Complete	140	0	6	6	0	0	9
Event Dispatch Begin	141	0	6	6	1	9	0
State Mutation Complete	141	0	6	6	0	0	9
Event Dispatch Begin	142	0	6	6	8	9	0
State Mutation Complete	142	0	6	6	0	0	9
Event Dispatch Begin	143	0	6	6	1	9	0
State Mutation Complete	143	0	6	6	0	0	9
Event Dispatch Begin	144	0	6	6	8	9	0
State Mutation Complete	144	0	6	6	0	0	9
Event Dispatch Begin	145	0	6	6	1	9	0
State Mutation Complete	145	0	6	6	0	0	9
Event Dispatch Begin	146	0	6	6	8	9	0
State Mutation Complete	146	0	6	6	0	0	9
Event Dispatch Begin	147	0	6	6	1	9	0
State Mutation Complete	147	0	6	6	0	0	9
Event Dispatch Begin	148	0	6	6	8	9	0
State Mutation Complete	148	0	6	6	0	0	9
Atlas Publication Begin	149	13	7	7	83	0	0
Atlas Publication Complete	149	13	7	7	0	0	0
Event Dispatch Begin	149	0	6	6	5	9	0
Frame Build Begin	149	13	7	7	1148190720	1141309440	0
Frame Build Complete	149	13	7	7	89	83	0
Glyph Atlas Summary	149	13	7	7	93	0	70400
Layout Cache Summary	149	13	7	7	4	1	3136
Native Actual Presentation Latency	149	0	0	0	41726250	0	0
Native Display Link Target Latency	149	0	0	0	8393125	0	0
Native Event Handler Latency	149	0	0	0	147417	0	0
Native Frame Queue Latency	149	0	0	0	186125	0	0
Native GPU Terminal Observed Latency	149	0	0	0	8474542	0	0
Native Presentation Callback Lag	149	0	0	0	273667	0	0
Native Presented Handler Latency	149	0	0	0	42000209	0	0
Native Submission Latency	149	0	0	0	194416	0	0
Native Target Presentation Latency	149	0	0	0	41726375	0	0
Native Terminal Record Latency	149	0	0	0	16849334	0	0
State Mutation Complete	149	0	7	7	1	1	10
Text Summary	149	13	7	7	3	0	1
Visible Layout Begin	149	13	7	7	0	0	0
Visible Layout Complete	149	13	7	7	5	0	0
Event Dispatch Begin	150	0	7	7	8	10	0
State Mutation Complete	150	0	7	7	0	0	10
Event Dispatch Begin	151	0	7	7	1	10	0
State Mutation Complete	151	0	7	7	0	0	10
Event Dispatch Begin	152	0	7	7	8	10	0
State Mutation Complete	152	0	7	7	0	0	10
Event Dispatch Begin	153	0	7	7	1	10	0
State Mutation Complete	153	0	7	7	0	0	10
Event Dispatch Begin	154	0	7	7	8	10	0
State Mutation Complete	154	0	7	7	0	0	10
Event Dispatch Begin	155	0	7	7	1	10	0
State Mutation Complete	155	0	7	7	0	0	10
Event Dispatch Begin	156	0	7	7	8	10	0
State Mutation Complete	156	0	7	7	0	0	10
Event Dispatch Begin	157	0	7	7	1	10	0
State Mutation Complete	157	0	7	7	0	0	10
Event Dispatch Begin	158	0	7	7	8	10	0
State Mutation Complete	158	0	7	7	0	0	10
Atlas Publication Begin	159	14	8	8	84	0	0
Atlas Publication Complete	159	14	8	8	0	0	0
Event Dispatch Begin	159	0	7	7	5	10	0
Frame Build Begin	159	14	8	8	1148190720	1141309440	0
Frame Build Complete	159	14	8	8	90	84	0
Glyph Atlas Summary	159	14	8	8	94	0	70400
Layout Cache Summary	159	14	8	8	4	1	3200
Native Actual Presentation Latency	159	0	0	0	45912542	0	0
Native Display Link Target Latency	159	0	0	0	12579583	0	0
Native Event Handler Latency	159	0	0	0	263833	0	0
Native Frame Queue Latency	159	0	0	0	4125917	0	0
Native GPU Terminal Observed Latency	159	0	0	0	12670666	0	0
Native Presentation Callback Lag	159	0	0	0	258583	0	0
