event	missing_stage
627	Native Presented Handler Latency
627	Native Submission Latency
627	Native Target Presentation Latency
627	Native Terminal Record Latency
637	Native Actual Presentation Latency
637	Native Display Link Target Latency
637	Native Event Handler Latency
637	Native Frame Queue Latency
637	Native GPU Terminal Observed Latency
637	Native Presentation Callback Lag
637	Native Presented Handler Latency
637	Native Submission Latency
637	Native Target Presentation Latency
637	Native Terminal Record Latency
657	Native Actual Presentation Latency
657	Native Display Link Target Latency
657	Native Event Handler Latency
657	Native Frame Queue Latency
657	Native GPU Terminal Observed Latency
657	Native Presentation Callback Lag
657	Native Presented Handler Latency
657	Native Submission Latency
657	Native Target Presentation Latency
657	Native Terminal Record Latency
667	Native Actual Presentation Latency
667	Native Display Link Target Latency
667	Native Event Handler Latency
667	Native Frame Queue Latency
667	Native GPU Terminal Observed Latency
667	Native Presentation Callback Lag
667	Native Presented Handler Latency
667	Native Submission Latency
667	Native Target Presentation Latency
667	Native Terminal Record Latency
677	Native Actual Presentation Latency
677	Native Display Link Target Latency
677	Native Event Handler Latency
677	Native Frame Queue Latency
677	Native GPU Terminal Observed Latency
677	Native Presentation Callback Lag
677	Native Presented Handler Latency
677	Native Submission Latency
677	Native Target Presentation Latency
677	Native Terminal Record Latency
693	Native Actual Presentation Latency
693	Native Display Link Target Latency
693	Native Event Handler Latency
693	Native Frame Queue Latency
693	Native GPU Terminal Observed Latency
693	Native Presentation Callback Lag
693	Native Presented Handler Latency
693	Native Submission Latency
693	Native Target Presentation Latency
693	Native Terminal Record Latency
709	Native Actual Presentation Latency
709	Native Display Link Target Latency
709	Native Event Handler Latency
709	Native Frame Queue Latency
709	Native GPU Terminal Observed Latency
709	Native Presentation Callback Lag
709	Native Presented Handler Latency
709	Native Submission Latency
709	Native Target Presentation Latency
709	Native Terminal Record Latency
717	Native Actual Presentation Latency
717	Native Display Link Target Latency
717	Native Event Handler Latency
717	Native Frame Queue Latency
717	Native GPU Terminal Observed Latency
717	Native Presentation Callback Lag
717	Native Presented Handler Latency
717	Native Submission Latency
717	Native Target Presentation Latency
717	Native Terminal Record Latency
733	Native Actual Presentation Latency
733	Native Display Link Target Latency
733	Native Event Handler Latency
733	Native Frame Queue Latency
733	Native GPU Terminal Observed Latency
733	Native Presentation Callback Lag
733	Native Presented Handler Latency
733	Native Submission Latency
733	Native Target Presentation Latency
733	Native Terminal Record Latency
749	Native Actual Presentation Latency
749	Native Display Link Target Latency
749	Native Event Handler Latency
749	Native Frame Queue Latency
749	Native GPU Terminal Observed Latency
749	Native Presentation Callback Lag
749	Native Presented Handler Latency
749	Native Submission Latency
749	Native Target Presentation Latency
749	Native Terminal Record Latency
765	Native Actual Presentation Latency
765	Native Display Link Target Latency
765	Native Event Handler Latency
765	Native Frame Queue Latency
765	Native GPU Terminal Observed Latency
765	Native Presentation Callback Lag
765	Native Presented Handler Latency
765	Native Submission Latency
765	Native Target Presentation Latency
765	Native Terminal Record Latency
781	Native Actual Presentation Latency
781	Native Display Link Target Latency
781	Native Event Handler Latency
781	Native Frame Queue Latency
781	Native GPU Terminal Observed Latency
781	Native Presentation Callback Lag
781	Native Presented Handler Latency
781	Native Submission Latency
781	Native Target Presentation Latency
781	Native Terminal Record Latency
791	Native Actual Presentation Latency
791	Native Display Link Target Latency
791	Native Event Handler Latency
791	Native Frame Queue Latency
791	Native GPU Terminal Observed Latency
791	Native Presentation Callback Lag
791	Native Presented Handler Latency
791	Native Submission Latency
791	Native Target Presentation Latency
791	Native Terminal Record Latency
811	Native Actual Presentation Latency
811	Native Display Link Target Latency
811	Native Event Handler Latency
811	Native Frame Queue Latency
811	Native GPU Terminal Observed Latency
811	Native Presentation Callback Lag
811	Native Presented Handler Latency
811	Native Submission Latency
811	Native Target Presentation Latency
811	Native Terminal Record Latency
821	Native Actual Presentation Latency
821	Native Display Link Target Latency
821	Native Event Handler Latency
821	Native Frame Queue Latency
821	Native GPU Terminal Observed Latency
821	Native Presentation Callback Lag
821	Native Presented Handler Latency
821	Native Submission Latency
821	Native Target Presentation Latency
821	Native Terminal Record Latency
876	Native Actual Presentation Latency
876	Native Display Link Target Latency
876	Native Event Handler Latency
876	Native Frame Queue Latency
876	Native GPU Terminal Observed Latency
876	Native Presentation Callback Lag
876	Native Presented Handler Latency
876	Native Submission Latency
876	Native Target Presentation Latency
876	Native Terminal Record Latency
884	Native Actual Presentation Latency
884	Native Presentation Callback Lag
